# start	end	mode	name  (end = start+size-1; 0 = size unknown)
0x0800A3A0	0x0800A3AB	thumb	LinkCB_BlockSendEnd
0x0800A3AC	0x0800A3CB	thumb	LinkCB_BerryBlenderSendHeldKeys
0x0800A3CC	0x0800A3E7	thumb	SetBerryBlenderLinkCallback
0x0800A3E8	0x0800A3F3	thumb	GetBerryBlenderKeySendAttempts
0x0800A3F4	0x0800A403	thumb	SendBerryBlenderNoSpaceForPokeblocks
0x0800A404	0x0800A42B	thumb	GetMultiplayerId
0x0800A42C	0x0800A447	thumb	BitmaskAllOtherLinkPlayers
0x0800A448	0x0800A471	thumb	SendBlock
0x0800A474	0x0800A4BB	thumb	SendBlockRequest
0x0800A4BC	0x0800A4EB	thumb	IsLinkTaskFinished
0x0800A4EC	0x0800A523	thumb	GetBlockReceivedStatus
0x0800A524	0x0800A54F	thumb	SetBlockReceivedFlag
0x0800A550	0x0800A587	thumb	ResetBlockReceivedFlags
0x0800A588	0x0800A5BB	thumb	ResetBlockReceivedFlag
0x0800A5BC	0x0800A5E3	thumb	CheckShouldAdvanceLinkState
0x0800A5E4	0x0800A611	thumb	LinkTestCalcBlockChecksum
0x0800A614	0x0800A64B	thumb	LinkTest_PrintNumChar
0x0800A64C	0x0800A683	thumb	LinkTest_PrintChar
0x0800A684	0x0800A6D7	thumb	LinkTest_PrintHex
0x0800A6D8	0x0800A71D	thumb	LinkTest_PrintString
0x0800A720	0x0800A74B	thumb	LinkCB_RequestPlayerDataExchange
0x0800A74C	0x0800A88F	thumb	Task_PrintTestData
0x0800A890	0x0800A8A3	thumb	SetLinkDebugValues
0x0800A8A4	0x0800A8D3	thumb	GetSavedLinkPlayerCountAsBitFlags
0x0800A8D4	0x0800A8FD	thumb	GetLinkPlayerCountAsBitFlags
0x0800A900	0x0800A943	thumb	SaveLinkPlayers
0x0800A944	0x0800A94F	thumb	GetSavedPlayerCount
0x0800A950	0x0800A95B	thumb	GetSavedMultiplayerId
0x0800A95C	0x0800A9A3	thumb	DoesLinkPlayerCountMatchSaved
0x0800A9A4	0x0800AA23	thumb	CheckLinkPlayersMatchSaved
0x0800AA24	0x0800AA37	thumb	ResetLinkPlayerCount
0x0800AA38	0x0800AA47	thumb	GetLinkPlayerCount_2
0x0800AA48	0x0800AA73	thumb	IsLinkMaster
0x0800AA74	0x0800AA7F	thumb	GetDummy2
0x0800AA80	0x0800AABF	thumb	SetCloseLinkCallbackAndType
0x0800AAC0	0x0800AB0B	thumb	SetCloseLinkCallback
0x0800AB0C	0x0800AB37	thumb	LinkCB_ReadyCloseLink
0x0800AB38	0x0800AB9B	thumb	LinkCB_WaitCloseLink
0x0800AB9C	0x0800ABD3	thumb	SetLinkStandbyCallback
0x0800ABD4	0x0800ABFF	thumb	LinkCB_Standby
0x0800AC00	0x0800AC57	thumb	LinkCB_StandbyForAll
0x0800AC58	0x0800ACBB	thumb	CheckErrorStatus
0x0800ACBC	0x0800ACD3	thumb	SetLinkErrorFromRfu
0x0800ACD4	0x0800AE1B	thumb	CB2_LinkError
0x0800AE1C	0x0800AECF	thumb	ErrorMsg_MoveCloserToPartner
0x0800AED0	0x0800AF2B	thumb	ErrorMsg_CheckConnections
0x0800AF2C	0x0800B053	thumb	CB2_PrintErrorMessage
0x0800B054	0x0800B063	thumb	GetSioMultiSI
0x0800B064	0x0800B08B	thumb	IsSioMultiMaster
0x0800B08C	0x0800B09B	thumb	IsLinkConnectionEstablished
0x0800B09C	0x0800B0A7	thumb	SetSuppressLinkErrorMessage
0x0800B0A8	0x0800B0B3	thumb	HasLinkErrorOccurred
0x0800B0B4	0x0800B10F	thumb	LocalLinkPlayerToBlock
0x0800B110	0x0800B177	thumb	LinkPlayerFromBlock
0x0800B178	0x0800B1F3	thumb	HandleLinkConnection
0x0800B1F4	0x0800B20F	thumb	SetWirelessCommType1
0x0800B210	0x0800B22B	thumb	SetWirelessCommType0_Internal
0x0800B22C	0x0800B247	thumb	SetWirelessCommType0
0x0800B248	0x0800B26F	thumb	GetLinkRecvQueueLength
0x0800B270	0x0800B283	thumb	IsLinkRecvQueueAtOverworldMax
0x0800B284	0x0800B299	thumb	ConvertLinkPlayerName
0x0800B29C	0x0800B2F3	thumb	DisableSerial
0x0800B2F4	0x0800B387	thumb	EnableSerial
0x0800B388	0x0800B395	thumb	ResetSerial
0x0800B398	0x0800B4C1	thumb	LinkMain1
0x0800B4C4	0x0800B4EF	thumb	CheckMasterOrSlave
0x0800B4F0	0x0800B51F	thumb	InitTimer
0x0800B520	0x0800B607	thumb	EnqueueSendCmd
0x0800B608	0x0800B717	thumb	DequeueRecvCmds
0x0800B718	0x0800B787	thumb	LinkVSync
0x0800B788	0x0800B795	thumb	Timer3Intr
0x0800B798	0x0800B81F	thumb	SerialCB
0x0800B820	0x0800B82F	thumb	StartTransfer
0x0800B830	0x0800B929	thumb	DoHandshake
0x0800B92C	0x0800BA43	thumb	DoRecv
0x0800BA44	0x0800BAF7	thumb	DoSend
0x0800BAF8	0x0800BB2B	thumb	StopTimer
0x0800BB2C	0x0800BB5B	thumb	SendRecvDone
0x0800BB5C	0x0800BBAF	thumb	ResetSendBuffer
0x0800BBB0	0x0800BC1F	thumb	ResetRecvBuffer
0x0800BC20	0x0800BC5B	thumb	MultiBootInit
0x0800BC5C	0x0800C049	thumb	MultiBootMain
0x0800C04C	0x0800C095	thumb	MultiBootSend
0x0800C098	0x0800C0B9	thumb	MultiBootStartProbe
0x0800C0BC	0x0800C17D	thumb	MultiBootStartMaster
0x0800C180	0x0800C191	thumb	MultiBootCheckComplete
0x0800C194	0x0800C27D	thumb	MultiBootHandShake
0x0800C280	0x0800C297	thumb	MultiBootWaitCycles
0x0800C298	0x0800C2D3	thumb	MultiBootWaitSendDone
